embed_sim_threshold,nli_contra_threshold,sparsity_floor,high_severity_sim,sparsecl_alpha,sparsecl_everify,TP,FN,FP,TN,precision_pct,recall_pct,specificity_pct,npv_pct,accuracy_pct,f1_pct,fpr_pct,fnr_pct
0.6,0.92,0.3,0.82,1.0,True,19,21,3,23,86.36,47.50,88.46,52.27,63.64,61.29,11.54,52.50
0.6,0.88,0.3,0.82,1.0,True,19,21,3,23,86.36,47.50,88.46,52.27,63.64,61.29,11.54,52.50
0.55,0.92,0.3,0.82,1.0,True,20,20,7,19,74.07,50.00,73.08,48.72,59.09,59.70,26.92,50.00
0.55,0.88,0.3,0.82,1.0,True,20,20,7,19,74.07,50.00,73.08,48.72,59.09,59.70,26.92,50.00
